,mass,diameter,has_water,orbits_star,orbits_planet,surface_temperature,pctg_oxygen,pctg_helium,pctg_iron,pctg_nickel,pctg_silicon,pctg_aluminum,pctg_calcium,pctg_sodium,pctg_potassium,pctg_magnesium,pctg_other
0,610076924196,468019751,9978,False,False,True,0.03210846489111911,0.06624013012800473,0.12854542580414904,0.10932905560583094,0.05623012450560914,0.020384948607738422,0.024922117579585176,0.13465607135468796,0.03961701324788414,0.15543075073173573,0.23253589754365558
1,585918241008,826742573,-9350,True,True,False,0.12795254685241975,0.03423998665879631,0.005003416558302105,0.08379656244023648,0.113406676898725,0.12473473495537597,0.06828793183161719,0.04176246800344795,0.09994879194522863,0.17306595533092795,0.12780092852492275
2,978695688264,870542997,-8612,False,False,True,0.15861095087304233,0.14479106155874824,0.018716780338722355,0.08308705568840766,0.06104834745946253,0.08613657454295923,0.22424800032610825,0.05761433708208468,0.037514345946654454,0.020289083332750438,0.10794346285105996
3,173209059909,871038858,5345,False,False,True,0.09332294246709122,0.009459245355156786,0.04573365370542674,0.1798687579837038,0.10337943488634152,0.023908163919433345,0.18634609632349816,0.10516145176627323,0.06148528610131507,0.16529153210438924,0.02604343538737095
4,76395464273,956307997,-1348,False,True,True,0.05047441576842813,0.1186485907358397,0.07491364020298204,0.23761804741447523,0.03432965711342014,0.12853639503574596,0.09504365837126899,0.012323254937836302,0.05907997083267961,0.11578451227292146,0.07324785731440253
5,874105835592,825723754,816,False,True,False,0.028362473648195375,0.17297616754594924,0.00014217428886529045,0.15726542010251107,0.014131312484125387,0.0971748787515495,0.1723069055402553,0.08498455154786783,0.08631945732810573,0.15990065272460863,0.026436006037966538
6,86992556051,927532344,-7190,False,True,False,0.11479754321637065,0.07331330555762668,0.17705318141904675,0.17194868942579986,0.009269949074342984,0.009703809825319275,0.09327024981759065,0.0743425737163305,0.03591225215179687,0.1793616215953628,0.06102682420041316
7,258361425155,272066601,-9675,True,False,False,0.2759159257235624,0.010277773324141886,0.13128394212051786,0.0859756284039358,0.15527489593539098,0.15614072263107018,0.03763945220375983,0.04777105300341282,0.04476017006912147,0.020946302148104994,0.03401413443698193
8,151677430554,748452648,9724,False,True,True,0.020538550884818815,0.15721455512792143,0.11160532107758711,0.058038488862015035,0.1101077163939904,0.06373194857947209,0.10335973262499332,0.02312800170800207,0.16668212237394425,0.11045042399658705,0.07514313837066848
9,476767891274,607588977,-326,False,False,False,0.09315736089057783,0.01938622398802966,0.020085989462864568,0.09628715156951777,0.08532510387205065,0.20583154407020268,0.006187640610918864,0.04057403820719467,0.008317866525934864,0.08743324683809574,0.3374138339646126
10,7932361895,567242833,4696,False,False,True,0.0765984453644299,0.023580220818880008,0.06102774839537191,0.2063049405721219,0.006066040241696023,0.10382589313116182,0.10146807356393094,0.026653751781234664,0.20824358188717818,0.15250818686627618,0.0337231173777184
11,412105407589,195728667,6541,False,False,False,0.019826960350018786,0.03251405316754249,0.07437710400167236,0.04681770347043645,0.07931101575888075,0.12055401813488756,0.12128886790695209,0.16350193737576438,0.15473357987561154,0.0944849663034842,0.09258979365474945
