mass,diameter,surface_temperature,pctg_oxygen,pctg_helium,pctg_iron,pctg_nickel,pctg_silicon,pctg_aluminum,pctg_calcium,pctg_sodium,pctg_potassium,pctg_magnesium,pctg_other
887801974624,201281925,8187,0.04824231699746531,0.3120163535219421,0.10448393618319202,0.04380775429172589,0.0038591982445087465,0.0028795160158675776,0.0824340202939258,0.028652726929948632,0.12256185864411832,0.11913015172242877,0.1319321671548768
712113767148,400562991,6826,0.022934459464223976,0.025416385524895335,0.06663958384918978,0.040406105460795975,0.024456058043035304,0.13417275813585575,0.11784941746114391,0.07141410642715355,0.13264295069144885,0.13245266245862905,0.2316155124836285
330736939559,943974001,-8631,0.09641167868364546,0.12107285241351745,0.12268889958718568,0.04779735969266976,0.0012433376276437891,0.09049467483750658,0.13787536169506265,0.2231806391093154,0.04705199478011877,0.06454816128070033,0.04763504029263413
393297403293,386802394,-7864,0.02123526449770994,0.006084007250339074,0.1369964299390924,0.1089894056474501,0.07797351486837667,0.32922322616699873,0.033353628089605375,0.04436931295755211,0.03965035651289342,0.1083929079402376,0.0937319461297445
408032579105,998019504,9038,0.0492261885834928,0.015695948169619504,0.03201657249066729,0.12513103792221292,0.11459564126762982,0.06989596567936647,0.16219034708402594,0.031851297826950495,0.16210289957461174,0.1061021241355527,0.13119197726587017
651034036290,264941991,4169,0.021049044474250645,0.2041075349895895,0.09461438512929761,0.1340420126147216,0.00925608967291611,0.044377438666968666,0.07484090821423338,0.1466076691846211,0.14280168144484218,0.02298539556802228,0.10531784004053706
326039948557,445505787,9565,0.1805527267760246,0.03508716563104975,0.09292653116770297,0.02719185670263924,0.01196084270628606,0.09816301294631616,0.048079423805901814,0.17243934478289408,0.037470350641897104,0.1579102025925523,0.13821854224673596
717044678281,546769194,-4771,0.01207168192974104,0.0847229028854523,0.2154607216538779,0.03579812812839789,0.1012801826036908,0.16813444083745926,0.09228167997234181,0.04775188680538729,0.013148942203163469,0.08868756417475092,0.14066186880573742
555982217779,540315948,5643,0.0016314515683438634,0.07743081662949075,0.07379791674740163,0.12144962009831149,0.08150089468319133,0.15965000453326356,0.03970134439652236,0.09395763186299501,0.17175997307529167,0.12470661871176437,0.05441372769342381
122151561789,297431989,8485,0.11792783386894522,0.02444751079281182,0.06728691490419753,0.07509510742366135,0.1250253762670955,0.16626556331894746,0.19061895648700064,0.03323987279017861,0.07329259965197701,0.12031097542680673,0.006489289068377964
82612988499,547660945,-9451,0.022786196625596947,0.15880624942479002,0.03854505238663245,0.01633921236526093,0.01638400936308345,0.258072082006819,0.0636683991542726,0.08165390048429845,0.18979063189381787,0.09751129937308216,0.0564429669223461
