id,mass,diameter,has_water,orbits_star,orbits_planet,surface_temperature,pctg_oxygen,pctg_helium,pctg_iron,pctg_nickel,pctg_silicon,pctg_aluminum,pctg_calcium,pctg_sodium,pctg_potassium,pctg_magnesium,pctg_other
0,766539428090,725487183,False,False,False,-7778,0.07387307801904337,0.10036890589665977,0.06697121260855673,0.045126067578863775,0.10562078505334178,0.14151754810093325,0.182039132112145,0.017304062446256287,0.11160361723494631,0.1305866812223391,0.024988909726914726
1,93181190933,495623362,True,True,True,-8009,0.05004799568345676,0.0613523370835609,0.1325379194478099,0.09298564113950622,0.0001981262023287918,0.0801102933916165,0.09399413529348062,0.13594571513138742,0.3200834546152419,0.019504811835207473,0.013239570176403427
2,560201693184,470808266,True,False,True,-4012,0.04203594897155438,0.06290978847070039,0.08487016125413599,0.1717200602744003,0.11174541718823215,0.1986385226539991,0.08576652714683573,0.05103386192003477,0.047378725833507135,0.053200154743958165,0.09070083154264205
3,360564775681,228990796,True,True,True,9479,0.17816632965184395,0.0067469905065674785,0.014333053579583078,0.04410386923168891,0.08635367592682107,0.11844891696915394,0.3686379389917439,0.031924688727358125,0.1003360092007463,0.0382628256123669,0.012685701602126327
4,751553229941,626461325,False,True,False,-2130,0.033186155394378025,0.004921728501121161,0.08756034173376537,0.008694493684408014,0.25951384684110995,0.1330778072840638,0.019581618253979496,0.08562124832296553,0.2776599829463943,0.026252754938323793,0.06393002209949064
5,935795822820,836982988,True,True,True,5572,0.20579160578083258,0.0065537812763035875,0.15210713339466325,0.050324850087438776,0.059313077851734036,0.19855433311683057,0.10266837473583071,0.020107692678787318,0.16987370661533122,0.02218907188642582,0.01251637257582203
6,58790721015,673284666,True,False,True,6116,0.0024835893314370497,0.1924139981621075,0.09658384573317245,0.2130903486750334,0.08880510426859138,0.12766057138939804,0.11470187094066928,0.011150577198987785,0.007657276154422086,0.07801894008095667,0.06743387806522427
7,778422395112,345666368,True,True,True,2079,0.005902946898896143,0.16778894298480562,0.09242984756761771,0.06344858083726979,0.09128109925481273,0.13497012567902442,0.08639455332948703,0.1387674191562175,0.03155536970562719,0.08993806636159822,0.09752304822464376
8,368619140504,62169894,False,False,True,6202,0.04920719546952632,0.06508692400047895,0.16438667925177433,0.06325980248285268,0.04499458362953818,0.11887273418879098,0.11313218403921269,0.016957112933608975,0.015370784548206146,0.227488806413022,0.12124319304298886
9,450505767796,702409392,False,False,False,669,0.04713112620020863,0.25758836338928703,0.1724013916535321,0.07638264373976746,0.01073725388195443,0.025311713034628047,0.10767224032953313,0.113076506087418,0.002680219121197892,0.17484770100929622,0.012170841553176963
10,377555689564,657878071,False,False,True,298,0.03780278940830663,0.17840126154764707,0.022577609214112393,0.05057148949524683,0.06733624107786425,0.13157133057206047,0.10421177611208733,0.1845558494739276,0.06648994355527453,0.07027738719407942,0.08620432234939343
11,555989270802,520402222,True,True,False,5520,0.09603780749675424,0.16019086789555229,0.10943833356055584,0.07301276148871877,0.023151201183052344,0.009330724029758658,0.0223449805867564,0.038289528827750184,0.11907144575873436,0.32661212030141223,0.022520228870954652
12,399762413448,957937890,True,True,True,6198,0.007927078004779252,0.14122427828635747,0.009564685308906543,0.023878457887237615,0.09733296867791053,0.15374814484093485,0.06864242164159944,0.22033670371251005,0.16354641949844004,0.08085014330591238,0.032948698835411724
13,787708436071,678746725,False,False,False,-3852,0.1345426895330598,0.07996189657833322,0.06350677186372956,0.03094170790869776,0.013813373689259962,0.1838737196603272,0.0825703176815847,0.16613522057399216,0.08968118771609303,0.06325908998607097,0.0917140248088515
14,722791229345,849862577,False,True,False,-1717,0.07592431185448935,0.11497092587134453,0.13036521641473273,0.09515959834204009,0.09595410383094387,0.07767904787676332,0.11635668357027909,0.16334692565137643,0.035264097288455844,0.08589112513623609,0.009087964163338728
15,415302053900,107026980,True,False,True,3475,0.016109135808112088,0.06757170021463682,0.1622766755566094,0.16185574273642536,0.0527923521914876,0.22032733182861391,0.027128182438242558,0.07357737226677499,0.041102874425616095,0.05544829212264317,0.12181034041083809
16,34649445108,979696856,False,False,False,6552,0.09069766960511928,0.03053886836274676,0.08424827043084954,0.06863857904173004,0.28006067723824074,0.0025159534043317612,0.10811607932533376,0.10316968290989093,0.17706990674571516,0.0382394286897707,0.016704884246271357
17,253530054979,344655027,False,False,True,4016,0.027331080139588737,0.19182700614548795,0.12754088081874446,0.02925800948011714,0.11562683328501765,0.13055634738805053,0.057364823996154814,0.12771120974374658,0.019619015851909637,0.0544140423722987,0.11875075077888382
18,490018980031,14614579,False,True,False,-7438,0.01620417513746407,0.06821503875631046,0.23719407928911365,0.04683731814121227,0.028242112281496905,0.10076467172349798,0.1237051272930777,0.05493680545721542,0.08404104385890845,0.023700203402900622,0.2161594246588024
19,516369770889,565083864,True,True,True,-8886,0.15109493357841072,0.04692980897920312,0.07467490532349913,0.17971293152472378,0.02011179167297726,0.10342895606896718,0.1004453469920629,0.08283948236210419,0.0655411801403727,0.09299681738046883,0.08222384597721004
20,350589945505,123991038,False,True,False,-996,0.049772844564977284,0.19798901242316025,0.0015337180500984262,0.15859558682537958,0.03193316730086255,0.10425186647143476,0.022384763552153474,0.11818682987937124,0.05809537146300929,0.13368942455732336,0.12356741491222988
21,880447556734,902620475,True,True,False,-4610,0.18344846744484825,0.013119569626650405,0.18696334533757747,0.030035401127423006,0.015411433766065883,0.07477734822935163,0.012544386043642723,0.0535730103541011,0.0283363699248707,0.2243147011718393,0.17747596697362963
22,37422931439,667427407,False,True,False,3101,0.15405030355472674,0.01698391757431217,0.09287888263896443,0.02914914272761518,0.03341063264205397,0.042272164794974074,0.23934679519764449,0.010686729496317215,0.12907821537057368,0.12456821879833303,0.12757499720448504
